Glitch run started: 2025-10-22T15:41:23.523658
Parameters: repeat range (1, 20), ext_offset range (1, 1000)
============================================================

[2025-10-22T15:41:23.532698] Trying repeat=1, ext_offset=1
	Attempt 1 - time 2025-10-22T15:41:23.538262
	  >> ACCESS DENIED
	  Enter password:
	Attempt 2 - time 2025-10-22T15:41:23.686182
	  >> ACCESS DENIED
	  Enter password:
	Attempt 3 - time 2025-10-22T15:41:23.844193
	  >> ACCESS DENIED
	  Enter password:
	Attempt 4 - time 2025-10-22T15:41:24.006288
	  >> ACCESS DENIED
	  Enter password:
	Attempt 5 - time 2025-10-22T15:41:24.163800
	  >> ACCESS DENIED
	  Enter password:
[2025-10-22T15:41:24.330514] Trying repeat=1, ext_offset=101
	Attempt 1 - time 2025-10-22T15:41:24.336447
	  >> ACCESS DENIED
	  Enter password:
	Attempt 2 - time 2025-10-22T15:41:24.501929
	  >> ACCESS DENIED
	  Enter password:
	Attempt 3 - time 2025-10-22T15:41:24.667044
	  >> ACCESS DENIED
	  Enter password:
	Attempt 4 - time 2025-10-22T15:41:24.821281
	  >> ACCESS DENIED
	  Enter password:
	Attempt 5 - time 2025-10-22T15:41:24.976815
	  >> ACCESS DENIED
	  Enter password:
[2025-10-22T15:41:25.148002] Trying repeat=1, ext_offset=201
	Attempt 1 - time 2025-10-22T15:41:25.156404
	  >> ACCESS DENIED
	  Enter password:
	Attempt 2 - time 2025-10-22T15:41:25.312534
	  >> ACCESS DENIED
	  Enter password:
	Attempt 3 - time 2025-10-22T15:41:25.469253
	  >> ACCESS DENIED
	  Enter password:
	Attempt 4 - time 2025-10-22T15:41:25.633205
	  >> ACCESS DENIED
	  Enter password:
	Attempt 5 - time 2025-10-22T15:41:25.787893
	  >> ACCESS DENIED
	  Enter password:
[2025-10-22T15:41:25.958154] Trying repeat=1, ext_offset=301
	Attempt 1 - time 2025-10-22T15:41:25.965906
	  >> ACCESS DENIED
	  Enter password:
